-0.023700	 0.000000	 0.000562	  
-0.020559	 -0.009667	 0.000516	  
-0.005125	 -0.024309	 0.000617	  
-0.014229	 0.010700	 0.000317	  
0.016639	 -0.030808	 0.001226	  
-0.007048	 0.007413	 0.000105	  
-0.002659	 -0.031604	 0.001006	  
-0.000024	 0.020791	 0.000432	  
0.029190	 -0.020881	 0.001288	  
0.035684	 -0.011975	 0.001417	  
-0.030736	 0.027434	 0.001697	  
-0.010589	 0.025967	 0.000786	  
0.015557	 0.022284	 0.000739	  
0.004008	 0.003243	 0.000027	  
-0.014923	 0.050203	 0.002743	  
0.003305	 0.022730	 0.000528	  
0.020839	 0.005599	 0.000466	  
0.030501	 -0.019345	 0.001305	  
-0.017510	 0.012171	 0.000455	  
-0.022376	 0.014190	 0.000702	  
0.037038	 -0.012658	 0.001532	  
0.032831	 0.007150	 0.001129	  
-0.007543	 -0.029634	 0.000935	  
-0.000341	 0.015387	 0.000237	  
-0.006342	 -0.042888	 0.001880	  
0.009802	 -0.009740	 0.000191	  
-0.005436	 0.025215	 0.000665	  
-0.014311	 0.009718	 0.000299	  
0.006602	 0.007316	 0.000097	  
-0.004085	 0.026175	 0.000702	  
0.015070	 -0.019321	 0.000600	  
-0.020627	 -0.010585	 0.000538	  
-0.017298	 0.025910	 0.000971	  
-0.011114	 -0.010997	 0.000244	  
0.016711	 0.004675	 0.000301	  
-0.002458	 -0.002421	 0.000012	  
-0.027801	 -0.005242	 0.000800	  
-0.013530	 -0.002911	 0.000192	  
-0.025624	 -0.029134	 0.001505	  
0.005366	 -0.026627	 0.000738	  
-0.033281	 -0.002446	 0.001114	  
0.000171	 -0.023845	 0.000569	  
-0.002120	 0.011060	 0.000127	  
0.012994	 -0.028761	 0.000996	  
-0.027342	 -0.003421	 0.000759	  
0.003708	 0.000259	 0.000014	  
-0.000351	 -0.008136	 0.000066	  
0.012569	 0.008327	 0.000227	  
0.011340	 0.023005	 0.000658	  
-0.008486	 -0.003082	 0.000082	  
-0.001531	 0.019583	 0.000386	  
-0.005423	 0.006136	 0.000067	  
-0.013793	 -0.015832	 0.000441	  
-0.010342	 0.026278	 0.000797	  
0.017152	 0.013351	 0.000472	  
-0.009770	 0.025680	 0.000755	  
-0.006205	 0.006685	 0.000083	  
0.011031	 -0.024834	 0.000738	  
0.013701	 0.005613	 0.000219	  
0.025288	 -0.009249	 0.000725	  
0.017279	 -0.021711	 0.000770	  
-0.009879	 -0.022166	 0.000589	  
0.033787	 -0.016193	 0.001404	  
0.007784	 -0.017522	 0.000368	  
-0.005317	 -0.018467	 0.000369	  
-0.023361	 -0.027699	 0.001313	  
0.007691	 0.003547	 0.000072	  
0.003821	 0.033792	 0.001157	  
-0.031093	 0.000038	 0.000967	  
-0.031682	 0.018355	 0.001341	  
0.001366	 0.032726	 0.001073	  
0.017510	 0.036145	 0.001613	  
-0.020418	 0.004178	 0.000434	  
0.019885	 0.041098	 0.002084	  
0.011046	 0.022910	 0.000647	  
0.014298	 0.013323	 0.000382	  
0.017501	 -0.017899	 0.000627	  
